Country Name,Indicator Name,Year,Value
"Macao SAR, China",全癌死亡率,1992,8
"Macao SAR, China",全癌死亡率,1997,4
"Macao SAR, China",全癌死亡率,2002,14
"Macao SAR, China",全癌死亡率,2007,14
Singapore,全癌死亡率,2007,10
"Hong Kong SAR, China",全癌死亡率,2007,13
Singapore,全癌死亡率,2002,13
"Hong Kong SAR, China",全癌死亡率,2002,6
Qatar,全癌死亡率,2007,11
Singapore,全癌死亡率,1997,12
Singapore,全癌死亡率,1992,11
Qatar,全癌死亡率,2002,13
Cayman Islands,全癌死亡率,2007,11
Andorra,全癌死亡率,2007,4
Trinidad and Tobago,全癌死亡率,2007,8
Andorra,全癌死亡率,2002,7
Aruba,全癌死亡率,2002,5
Aruba,全癌死亡率,2007,12
Luxembourg,全癌死亡率,2007,13
Aruba,全癌死亡率,1997,13
Puerto Rico,全癌死亡率,2007,4
Puerto Rico,全癌死亡率,2002,12
Singapore,全癌死亡率,1987,9
United Kingdom,全癌死亡率,2007,3
Brunei Darussalam,全癌死亡率,2007,7
Bermuda,全癌死亡率,2007,9
United Kingdom,全癌死亡率,2002,10
Luxembourg,全癌死亡率,2002,15
Luxembourg,全癌死亡率,1997,8
Germany,全癌死亡率,2007,4
Bermuda,全癌死亡率,2002,13
Switzerland,全癌死亡率,2007,6
Bermuda,全癌死亡率,1997,10
Brunei Darussalam,全癌死亡率,1982,9
Bahrain,全癌死亡率,1992,3
Germany,全癌死亡率,2002,8
Brunei Darussalam,全癌死亡率,1992,9
Belgium,全癌死亡率,2007,4
North America,全癌死亡率,2002,4
United States,全癌死亡率,2002,3
Brunei Darussalam,全癌死亡率,1977,5
Switzerland,全癌死亡率,2002,13
Bahrain,全癌死亡率,1982,10
Germany,全癌死亡率,1992,13
Germany,全癌死亡率,1997,3
United States,全癌死亡率,2007,6
Brunei Darussalam,全癌死亡率,2002,13
Japan,全癌死亡率,2007,4
United Kingdom,全癌死亡率,1997,15
North America,全癌死亡率,2007,9
Belgium,全癌死亡率,2002,5
Ireland,全癌死亡率,2007,14
Saudi Arabia,全癌死亡率,1977,9
Brunei Darussalam,全癌死亡率,1997,11
French Polynesia,全癌死亡率,1992,4
Barbados,全癌死亡率,2007,11
Puerto Rico,全癌死亡率,1997,11
Bahrain,全癌死亡率,1987,4
United Kingdom,全癌死亡率,1992,15
Switzerland,全癌死亡率,1997,12
St. Kitts and Nevis,全癌死亡率,2007,10
Oman,全癌死亡率,2007,13
Equatorial Guinea,全癌死亡率,2007,10
North America,全癌死亡率,1997,8
United States,全癌死亡率,1997,12
Denmark,全癌死亡率,2007,10
Singapore,全癌死亡率,1982,14
Norway,全癌死亡率,2007,4
Japan,全癌死亡率,2002,12
Post-demographic dividend,全癌死亡率,2007,15
High income,全癌死亡率,2007,15
Trinidad and Tobago,全癌死亡率,2002,14
Belgium,全癌死亡率,1997,8
Canada,全癌死亡率,2007,3
Japan,全癌死亡率,1997,14
Sweden,全癌死亡率,2007,11
OECD members,全癌死亡率,2007,13
Saudi Arabia,全癌死亡率,1982,14
Austria,全癌死亡率,2007,3
Puerto Rico,全癌死亡率,1992,11
European Union,全癌死亡率,2007,12
Post-demographic dividend,全癌死亡率,2002,7
Norway,全癌死亡率,2002,13
High income,全癌死亡率,2002,10
Euro area,全癌死亡率,2007,10
Austria,全癌死亡率,2002,9
France,全癌死亡率,2007,13
Sweden,全癌死亡率,2002,11
Barbados,全癌死亡率,2002,7
Japan,全癌死亡率,1992,13
OECD members,全癌死亡率,2002,15
Switzerland,全癌死亡率,1992,14
Brunei Darussalam,全癌死亡率,1987,9
Antigua and Barbuda,全癌死亡率,2007,8
Netherlands,全癌死亡率,2007,13
Ireland,全癌死亡率,2002,3
Malta,全癌死亡率,2007,4
Antigua and Barbuda,全癌死亡率,2002,6
St. Kitts and Nevis,全癌死亡率,2002,6
Singapore,全癌死亡率,1977,10
Denmark,全癌死亡率,2002,10
Libya,全癌死亡率,2007,9
"Bahamas, The",全癌死亡率,1987,10
Italy,全癌死亡率,2007,14
Slovenia,全癌死亡率,2007,12
Austria,全癌死亡率,1997,6
Post-demographic dividend,全癌死亡率,1997,7
High income,全癌死亡率,1997,14
Czech Republic,全癌死亡率,2007,4
European Union,全癌死亡率,2002,11
Euro area,全癌死亡率,2002,7
France,全癌死亡率,2002,15
Netherlands,全癌死亡率,2002,3
Trinidad and Tobago,全癌死亡率,1997,3
Europe & Central Asia,全癌死亡率,2007,4
Portugal,全癌死亡率,2007,9
Oman,全癌死亡率,2002,15
"Bahamas, The",全癌死亡率,2007,3
Oman,全癌死亡率,1992,9
Cyprus,全癌死亡率,2007,12
Norway,全癌死亡率,1997,10
OECD members,全癌死亡率,1997,5
Puerto Rico,全癌死亡率,1987,15
Japan,全癌死亡率,1987,8
Australia,全癌死亡率,2007,8
Sweden,全癌死亡率,1997,10
Botswana,全癌死亡率,2007,15
Euro area,全癌死亡率,1992,5
Malta,全癌死亡率,2002,5
Oman,全癌死亡率,1982,3
Oman,全癌死亡率,1977,7
Jordan,全癌死亡率,2002,7
European Union,全癌死亡率,1992,12
Botswana,全癌死亡率,2002,11
Oman,全癌死亡率,1997,11
Barbados,全癌死亡率,1997,13
Italy,全癌死亡率,2002,4
France,全癌死亡率,1997,11
Finland,全癌死亡率,2007,12
"Korea, Rep.",全癌死亡率,2007,4
Trinidad and Tobago,全癌死亡率,1992,12
Spain,全癌死亡率,2007,11
Euro area,全癌死亡率,1997,8
Seychelles,全癌死亡率,2007,14
Saudi Arabia,全癌死亡率,2007,5
Austria,全癌死亡率,1992,12
Malta,全癌死亡率,1997,6
Czech Republic,全癌死亡率,2002,13
Saudi Arabia,全癌死亡率,1972,15
European Union,全癌死亡率,1997,8
Jordan,全癌死亡率,2007,12
Japan,全癌死亡率,1982,13
Sweden,全癌死亡率,1992,14
France,全癌死亡率,1992,6
Seychelles,全癌死亡率,2002,10
Other small states,全癌死亡率,2007,10
South Africa,全癌死亡率,2007,5
Norway,全癌死亡率,1992,7
Trinidad and Tobago,全癌死亡率,1987,13
Palau,全癌死亡率,1997,10
Malta,全癌死亡率,1992,5
Finland,全癌死亡率,2002,9
Poland,全癌死亡率,2002,3
Denmark,全癌死亡率,1997,3
Europe & Central Asia,全癌死亡率,2002,8
Portugal,全癌死亡率,2002,5
"Bahamas, The",全癌死亡率,2002,8
"Bahamas, The",全癌死亡率,1992,14
Italy,全癌死亡率,1997,11
Denmark,全癌死亡率,1992,12
Slovenia,全癌死亡率,2002,5
Puerto Rico,全癌死亡率,1982,9
Netherlands,全癌死亡率,1997,14
St. Lucia,全癌死亡率,2007,11
Small states,全癌死亡率,2007,13
Djibouti,全癌死亡率,1992,11
Mexico,全癌死亡率,2007,5
Jordan,全癌死亡率,1997,6
Australia,全癌死亡率,1992,5
"Bahamas, The",全癌死亡率,1997,11
Italy,全癌死亡率,1992,15
Barbados,全癌死亡率,1992,7
Greece,全癌死亡率,2007,11
Poland,全癌死亡率,2007,12
Estonia,全癌死亡率,2007,3
France,全癌死亡率,1987,9
Seychelles,全癌死亡率,1997,7
Oman,全癌死亡率,1987,8
Djibouti,全癌死亡率,1997,7
Australia,全癌死亡率,1997,11
Mexico,全癌死亡率,2002,10
Djibouti,全癌死亡率,2002,14
New Caledonia,全癌死亡率,1992,7
Austria,全癌死亡率,1987,13
Czech Republic,全癌死亡率,1997,15
Other small states,全癌死亡率,2002,9
St. Kitts and Nevis,全癌死亡率,1997,3
New Caledonia,全癌死亡率,1997,14
Norway,全癌死亡率,1987,9
Chile,全癌死亡率,2007,11
Puerto Rico,全癌死亡率,1977,11
South Africa,全癌死亡率,2002,5
Central Europe and the Baltics,全癌死亡率,2007,8
Latvia,全癌死亡率,2007,10
"Korea, Rep.",全癌死亡率,2002,3
Spain,全癌死亡率,2002,10
South Africa,全癌死亡率,1992,5
Botswana,全癌死亡率,1997,6
Europe & Central Asia,全癌死亡率,1997,4
Seychelles,全癌死亡率,1992,9
Norway,全癌死亡率,1982,10
Djibouti,全癌死亡率,2007,8
Lithuania,全癌死亡率,2007,15
French Polynesia,全癌死亡率,1997,5
Malta,全癌死亡率,1982,4
Netherlands,全癌死亡率,1992,7
Caribbean small states,全癌死亡率,2007,8
Netherlands,全癌死亡率,1977,4
Finland,全癌死亡率,1997,4
Hungary,全癌死亡率,2007,3
Slovak Republic,全癌死亡率,2007,3
South Africa,全癌死亡率,1997,11
