year,sex,num,age_mid,rough,age_std2,age_std3,sex_std,test_bin
107,男,29624 ,68,252.92,135.87,156.59,1.78,1
107,女,19160 ,71,161.33,75.93,88.02,1,0
106,男,29346 ,68,250.4,137.79,159.02,1.79,0
106,女,18691 ,71,157.71,76.62,88.9,1,0
105,男,29215 ,68,249.29,140.85,162.97,1.78,0
105,女,18545 ,71,156.89,78.76,91.48,1,0
104,男,28776 ,68,245.7,142.6,164.54,1.79,0
104,女,18053 ,71,153.25,79.47,92,1,0
103,男,28477 ,69,243.44,144.85,166.86,1.79,0
103,女,17618 ,71,150.12,80.7,93.37,1,0
102,男,27883 ,69,238.63,145.05,167.3,1.8,0
102,女,16908 ,70,144.65,80.83,93.08,1,0
101,男,27270 ,69,233.61,146.28,168.42,1.8,0
101,女,16395 ,70,140.82,80.99,93.56,1,0
100,男,27045 ,69,232.23,149.17,171.76,1.87,0
100,女,15514 ,70,133.98,79.4,91.82,1,0
99,男,26022 ,69,223.65,146.88,169.28,1.83,0
99,女,15024 ,70,130.34,79.97,92.27,1,0
98,男,25284 ,69,217.28,147.47,169.34,1.81,0
98,女,14633 ,70,127.43,80.88,93.36,1,0
97,男,26403 ,69,228.08,159.44,182.82,1.86,0
97,女,14720 ,70,129.5,85.17,98.17,1,0
96,男,25819 ,69,222.41,159.32,182.52,1.83,1
96,女,14487 ,69,127.64,86.44,99.72,1,1
95,男,24428 ,69,210.74,154.66,176.96,1.81,1
95,女,13570 ,69,120.25,84.95,97.55,1,1
94,男,23944 ,69,207.08,156.44,179.01,1.8,1
94,女,13278 ,69,118.47,86.11,99.28,1,1
93,男,23339 ,69,202.22,157.45,179.74,1.78,1
93,女,13018 ,68,116.78,87.96,101.15,1,1
92,男,22335 ,68,193.96,155.34,177.15,1.7,1
92,女,12866 ,68,116.02,90.62,104.06,1,1
91,男,22020 ,68,191.72,157.63,179.52,1.74,0
91,女,12322 ,68,111.66,89.87,103.42,1,0
90,男,21263 ,68,185.84,156.28,178.18,1.74,0
90,女,11730 ,68,106.99,88.91,102.31,1,0
